,station,latitude,longitude
388,Okachimachi Station,35.7069531,139.7746303
389,Oku Station (Tokyo),35.74677345,139.754613280344
390,Ōkubo Station (Tokyo),35.702197,139.69521
391,Okusawa Station,35.810111,139.00736
392,Okutama Station,35.8090832,139.0964305
393,Ōme Station,35.7903003,139.258321524464
394,Ōmekaidō Station,35.7304934,139.4764695
395,Omokagebashi Station,35.7129381,139.7145658
396,Ōmori Station (Tokyo),35.5897232,139.7280238
397,Ōmorikaigan Station,35.587699,139.7353937
398,Ōmorimachi Station,35.572514,139.7320524
399,Omotesandō Station,35.6657815,139.7128866
400,Omurai Station,35.7103615,139.8275533
401,Onarimon Station,35.66103,139.7515294
402,Ontakesan Station,35.8929915,137.4804059
403,Ōokayama Station,35.6073954,139.68542
404,Ōsaki Station,35.61962715,139.728050224542
405,Oshiage Station,35.710775,139.8135101
406,Ōtemachi Station (Tokyo),35.6869804,139.7636796
407,Ōtorii Station,35.5525614,139.7393939
408,Ōtsuka Station,35.7317401,139.7283438
409,Ōtsuka-ekimae Station,35.7314483,139.72926
410,Ōtsuka-Teikyō-Daigaku Station,35.6368833,139.4164516
411,Ōyama Station (Tokyo),35.4408175,139.2311073
412,Oyamadai Station,35.6075687,139.6537866
413,Ozaku Station,35.7762291,139.3020363
414,Roka-kōen Station,35.6706279,139.6088469
415,Rokuchō Station,35.78407195,139.821238223932
416,Rokugōdote Station,35.540667,139.7076679
417,Roppongi Station,35.6636418,139.7327747
418,Roppongi-itchōme Station,35.6649905,139.7388526
419,Ryōgoku Station,35.6976468,139.7971784
420,Ryūtsū Center Station,35.5814006,139.749241112109
421,Saginomiya Station (Tokyo),35.7226352,139.6396308
422,Sakaechō Station (Tokyo),35.7538027,139.7030965
423,Sakura-shimmachi Station,35.631719,139.645163
424,Sakuradai Station (Tokyo),35.7387537,139.6623844
425,Sakuradamon Station,35.6774156,139.7517288
426,Sakurajōsui Station,35.6675015,139.6323285
427,Sakurakaidō Station,35.7390836,139.4166469
428,Samezu Station,35.6050422,139.742280820711
429,Sangen-Jaya Station,35.6435178,139.6712704
430,Sangūbashi Station,35.6788005,139.6938086
431,Sasazuka Station,35.6736274,139.6671061
432,Sawai Station,-2.9012389,129.2049193
433,Seibijō Station,35.5551678,139.7533539
434,Seibu-Shinjuku Station,35.6960912,139.7000455
435,Seibu-Tachikawa Station,35.7262011,139.3701587
436,Seibu-Yagisawa Station,35.7286278,139.552938
437,Seibu-Yūenchi Station,35.7661781,139.442575
438,Seibuen Station,35.767913,139.448445
439,Seijōgakuen-Mae Station,35.6399502,139.5984411
440,Seiseki-sakuragaoka Station,35.6501849,139.4465454
441,Sendagaya Station,35.6801806,139.7111952
442,Sendagi Station,35.7255455,139.7633148
443,Sengakuji Station,35.6372353,139.7394919
444,Sengawa Station,35.6623136,139.5850235
445,Sengoku Station,35.7283399,139.7442534
446,Senjuōhashi Station,35.7421478,139.7971043
447,Senkawa Station,35.7394416,139.6875885
448,Senzoku Station,35.6101598,139.6941517
449,Senzoku-Ike Station,35.5998047,139.6912953
450,Kamimachi Station,35.6434519,139.6464819
451,Setagaya Station,35.646096,139.65627
452,Setagaya-Daita Station,35.6582416,139.6612148
453,Shakujii-kōen Station,35.73821855,139.596150241553
454,Shibakoen Station,35.655327,139.749832
455,Shibamata Station,35.7564295,139.8752024
456,Shibasaki Station,35.6542039,139.5670015
457,Shibasaki-Taiikukan Station,35.6899932,139.4094397
458,Shibaura-futō Station,35.641723,139.7577759
459,Shibuya Station,35.6593912,139.7019171
460,Shiinamachi Station,35.7264476,139.6948922
461,Shijō-mae Station,35.6458081,139.7857575
462,Shim-Mikawashima Station,35.7372232,139.7739554
463,Shimbamba Station,35.6165091,139.7414662
464,Shimbashi Station,35.6661109,139.7597208
465,Shimo Station,35.7778749,139.7325731
466,Shimo-Akatsuka Station,35.7706013,139.644556
467,Shimo-Igusa Station,35.7237898,139.625376
468,Shimo-Itabashi Station,35.7455753,139.7149217
469,Shimo-kitazawa Station,35.6615352,139.6671704
